DATE,global_commodity_price
2019-10-01,112.6335639045523
2019-11-01,116.43818709128132
2019-12-01,119.2927694289734
2020-01-01,118.8207228601473
2020-02-01,110.15475751368632
2020-03-01,93.1753488705628
2020-04-01,85.0533673788871
2020-05-01,91.72581274978236
2020-06-01,99.87482130830992
2020-07-01,102.8644936896104
2020-08-01,108.6700781695264
2020-09-01,108.3418015516437
2020-10-01,111.2409885972606
2020-11-01,115.210057200145
2020-12-01,125.2383150282206
2021-01-01,136.9616003010032
2021-02-01,137.974647557282
2021-03-01,141.0155848340953
2021-04-01,145.2186361129708
2021-05-01,155.1856379341278
2021-06-01,160.7801755876585
2021-07-01,164.8299599347591
2021-08-01,163.1886465234196
2021-09-01,171.579878601008
2021-10-01,191.4984140885686
2021-11-01,183.1049665090508
2021-12-01,186.6932890950453
2022-01-01,192.24525948025408
2022-02-01,203.4922703922215
2022-03-01,239.8738771146949
2022-04-01,228.2876864897503
2022-05-01,226.32953507682032
2022-06-01,231.61313450113968
2022-07-01,229.4715884527396
2022-08-01,241.9349789551012
2022-09-01,220.02076267610076
2022-10-01,191.3619727322798
2022-11-01,192.03820412986576
2022-12-01,194.3354800212596
2023-01-01,182.6236898466865
2023-02-01,174.5804018005406
2023-03-01,168.2944285172827
2023-04-01,170.7543283388153
2023-05-01,157.1430210819627
2023-06-01,154.0560294835923
2023-07-01,157.8898409447821
2023-08-01,161.27673608943687
2023-09-01,168.6187963076835
2023-10-01,167.8999280784902
2023-11-01,165.1092152732787
2023-12-01,159.5326223936751
2024-01-01,159.3276072666515
2024-02-01,158.6359144955662
2024-03-01,163.0699638041388
2024-04-01,170.3973436175326
2024-05-01,168.6761040298751
2024-06-01,166.7472616252755
2024-07-01,166.1229822196752
2024-08-01,164.1539680256127
2024-09-01,161.3002163549875
2024-10-01,166.5217121909413
2024-11-01,166.2229822209629
2024-12-01,166.6951644308947
2025-01-01,172.8839269309394
2025-02-01,172.2798117105831
2025-03-01,167.6454679700185
2025-04-01,162.7502203304408
2025-05-01,161.1931325584958
2025-06-01,166.1831251904608
2025-07-01,165.7599445617401
2025-08-01,163.347890678846
2025-09-01,167.4644910251405
2025-10-01,167.812160391536
2025-11-01,168.644273833077
2025-12-01,170.7768992919449
2026-01-01,180.41095044676396
2026-02-01,184.25857039604875
2026-03-01,218.76906618477727
2026-04-01,214.29148222573968
2026-05-01,214.4716304352708
2026-06-01,194.62086973077928
2026-07-01,193.2044744461968
